Format,RaceBox CSV
Data Source,RaceBox 25121861
Date UTC,2026-05-29T18:38:05+00:00
Date,29/05/2026
Time,06/38/05
Session Index,2
Session Type,Track
Track,Custom Track
Configuration,
Laps,14
Best Lap Time,42.639
Incomplete lap, 6.004, sectors, 0,0,0,0,6.004
Lap 1, 46.15, sectors, 9.027,18.434,11.503,0,7.186
Lap 2, 43.729, sectors, 7.716,17.729,11.238,0,7.046
Lap 3, 43.7, sectors, 7.902,17.608,11.118,0,7.072
Lap 4, 42.975, sectors, 7.637,17.406,10.983,0,6.949
Lap 5, 43.054, sectors, 7.703,17.209,11.265,0,6.877
Lap 6, 42.828, sectors, 7.616,17.382,10.924,0,6.906
Lap 7, 42.901, sectors, 7.581,17.408,11.042,0,6.870
Lap 8, 42.961, sectors, 7.661,17.363,11.043,0,6.894
Lap 9, 43.165, sectors, 7.798,17.44,10.939,0,6.988
Lap 10, 42.76, sectors, 7.546,17.404,10.906,0,6.904
Lap 11, 42.78, sectors, 7.648,17.319,10.929,0,6.884
Lap 12, 44.157, sectors, 7.573,18.269,11.467,0,6.848
Lap 13, 42.639, sectors, 7.519,17.206,11.117,0,6.797
Lap 14, 42.879, sectors, 7.6,17.398,11.129,0,6.752
Incomplete lap, 66.218, sectors, 7.503,17.203,11.305,0,30.207

Record,Time,Latitude,Longitude,Altitude (m),Speed (m/s),GForceX (g),GForceY (g),GForceZ (g),Lap,Heading
60,2026-05-29T18:38:11.800Z,50.3732428,30.4650357,178.1,10.94,0.036,0.179,0.709,0,160.01
61,2026-05-29T18:38:11.900Z,50.3732334,30.4650399,178.1,10.86,-0.075,0.068,0.885,0,163.52
62,2026-05-29T18:38:12.000Z,50.3732240,30.4650432,178.1,10.68,0.002,-0.080,0.904,1,167.01
63,2026-05-29T18:38:12.100Z,50.3732148,30.4650458,178.1,10.39,0.023,-0.369,0.922,1,169.44
64,2026-05-29T18:38:12.200Z,50.3732055,30.4650471,178.1,10.31,-0.155,-0.294,1.033,1,174.65
65,2026-05-29T18:38:12.300Z,50.3731965,30.4650476,178.1,10.08,-0.370,-0.243,1.073,1,177.53
66,2026-05-29T18:38:12.400Z,50.3731875,30.4650470,178.1,10.00,-0.339,-0.317,1.058,1,182.81
67,2026-05-29T18:38:12.500Z,50.3731786,30.4650462,178.1,9.83,-0.213,-0.210,0.920,1,182.97
68,2026-05-29T18:38:12.600Z,50.3731698,30.4650442,178.1,9.78,-0.058,-0.320,0.885,1,187.72
69,2026-05-29T18:38:12.700Z,50.3731617,30.4650401,178.1,9.49,-0.012,-0.444,0.953,1,197.28
70,2026-05-29T18:38:12.800Z,50.3731529,30.4650366,178.2,9.89,-0.044,-0.406,1.069,1,193.83
71,2026-05-29T18:38:12.900Z,50.3731454,30.4650304,178.2,9.61,-0.007,-0.408,0.996,1,206.49
72,2026-05-29T18:38:13.000Z,50.3731374,30.4650248,178.2,9.64,-0.127,-0.421,1.018,1,204.14
73,2026-05-29T18:38:13.100Z,50.3731297,30.4650188,178.2,9.54,-0.266,-0.414,0.961,1,206.82
74,2026-05-29T18:38:13.200Z,50.3731228,30.4650114,178.2,9.34,-0.304,-0.412,0.893,1,213.56
75,2026-05-29T18:38:13.300Z,50.3731162,30.4650029,178.2,9.54,-0.398,-0.587,0.940,1,218.81
76,2026-05-29T18:38:13.400Z,50.3731101,30.4649943,178.2,9.15,-0.415,-0.460,1.049,1,221.49
77,2026-05-29T18:38:13.500Z,50.3731039,30.4649857,178.2,9.20,-0.561,-0.592,1.082,1,221.60
78,2026-05-29T18:38:13.600Z,50.3730985,30.4649761,178.1,9.14,-0.603,-0.378,1.214,1,227.73
79,2026-05-29T18:38:13.700Z,50.3730928,30.4649667,178.2,9.23,-0.455,-0.317,1.154,1,226.60
80,2026-05-29T18:38:13.800Z,50.3730875,30.4649569,178.1,9.26,-0.360,-0.228,1.004,1,230.26
81,2026-05-29T18:38:13.900Z,50.3730832,30.4649468,178.1,8.65,-0.318,-0.167,0.753,1,234.32
82,2026-05-29T18:38:14.000Z,50.3730791,30.4649370,178.1,8.40,-0.117,-0.230,0.747,1,236.96
83,2026-05-29T18:38:14.100Z,50.3730753,30.4649274,178.0,8.13,0.050,0.035,0.450,1,238.94
84,2026-05-29T18:38:14.200Z,50.3730729,30.4649181,178.0,7.23,-0.016,-0.045,0.595,1,246.02
85,2026-05-29T18:38:14.300Z,50.3730703,30.4649076,178.1,7.87,-0.037,0.320,0.630,1,248.49
86,2026-05-29T18:38:14.400Z,50.3730689,30.4648984,178.1,6.86,-0.080,0.266,0.971,1,255.26
87,2026-05-29T18:38:14.500Z,50.3730677,30.4648876,178.2,7.61,-0.310,0.424,1.071,1,258.84
88,2026-05-29T18:38:14.600Z,50.3730678,30.4648780,178.1,6.93,-0.504,0.166,1.301,1,268.59
89,2026-05-29T18:38:14.700Z,50.3730684,30.4648677,178.1,7.33,-0.323,0.288,1.143,1,274.18
90,2026-05-29T18:38:14.800Z,50.3730699,30.4648587,178.1,6.67,-0.106,-0.018,1.077,1,283.14
91,2026-05-29T18:38:14.900Z,50.3730722,30.4648497,178.1,6.88,-0.117,-0.001,1.016,1,291.01
92,2026-05-29T18:38:15.000Z,50.3730746,30.4648407,178.1,7.00,0.106,0.088,0.923,1,292.73
93,2026-05-29T18:38:15.100Z,50.3730783,30.4648329,178.1,6.96,0.291,0.110,0.947,1,304.14
94,2026-05-29T18:38:15.200Z,50.3730819,30.4648252,178.0,6.89,0.291,0.103,0.987,1,306.68
95,2026-05-29T18:38:15.300Z,50.3730866,30.4648177,178.1,7.22,0.023,-0.183,1.080,1,313.13
96,2026-05-29T18:38:15.400Z,50.3730918,30.4648126,178.1,6.86,0.023,-0.183,1.080,1,326.64
97,2026-05-29T18:38:15.500Z,50.3730973,30.4648077,178.0,7.07,0.044,-0.287,1.015,1,329.50
98,2026-05-29T18:38:15.600Z,50.3731031,30.4648037,178.0,7.07,0.053,-0.485,0.965,1,334.89
99,2026-05-29T18:38:15.700Z,50.3731092,30.4648012,178.0,7.14,-0.153,-0.622,1.032,1,343.67
100,2026-05-29T18:38:15.800Z,50.3731156,30.4647992,178.0,7.21,-0.003,-0.681,0.915,1,348.50
101,2026-05-29T18:38:15.900Z,50.3731221,30.4647991,177.9,7.28,0.009,-0.619,0.892,1,356.90
102,2026-05-29T18:38:16.000Z,50.3731286,30.4647997,177.9,7.25,-0.020,-0.674,0.903,1,2.02
103,2026-05-29T18:38:16.100Z,50.3731356,30.4648006,177.9,7.68,-0.148,-0.541,0.982,1,3.97
104,2026-05-29T18:38:16.200Z,50.3731424,30.4648033,177.8,7.77,0.048,-0.465,0.979,1,11.73
105,2026-05-29T18:38:16.300Z,50.3731494,30.4648061,177.8,7.91,-0.042,-0.295,0.998,1,13.95
106,2026-05-29T18:38:16.400Z,50.3731567,30.4648098,177.9,8.29,-0.071,-0.278,1.072,1,17.52
107,2026-05-29T18:38:16.500Z,50.3731637,30.4648140,177.8,8.34,0.023,-0.240,0.982,1,20.57
108,2026-05-29T18:38:16.600Z,50.3731710,30.4648181,177.9,8.64,0.050,-0.157,0.766,1,19.50
109,2026-05-29T18:38:16.700Z,50.3731785,30.4648219,177.9,8.74,0.207,-0.053,0.768,1,18.09
110,2026-05-29T18:38:16.800Z,50.3731861,30.4648257,177.8,8.83,0.180,0.047,0.744,1,17.67
111,2026-05-29T18:38:16.900Z,50.3731941,30.4648294,177.8,9.08,0.174,0.187,0.720,1,15.27
112,2026-05-29T18:38:17.000Z,50.3732023,30.4648323,177.8,9.19,0.013,0.346,0.829,1,12.40
113,2026-05-29T18:38:17.100Z,50.3732104,30.4648341,177.8,9.24,-0.149,0.389,1.020,1,8.19
114,2026-05-29T18:38:17.200Z,50.3732187,30.4648351,177.8,9.26,-0.100,0.510,0.991,1,4.18
115,2026-05-29T18:38:17.300Z,50.3732271,30.4648348,177.8,9.35,-0.230,0.654,1.034,1,358.92
116,2026-05-29T18:38:17.400Z,50.3732351,30.4648329,177.8,9.17,-0.184,0.680,0.965,1,351.44
117,2026-05-29T18:38:17.500Z,50.3732431,30.4648304,177.8,9.05,-0.034,0.555,0.875,1,349.03
118,2026-05-29T18:38:17.600Z,50.3732513,30.4648273,177.8,9.36,0.019,0.727,0.793,1,346.07
119,2026-05-29T18:38:17.700Z,50.3732586,30.4648222,177.8,9.05,0.033,0.684,0.785,1,336.95
120,2026-05-29T18:38:17.800Z,50.3732657,30.4648167,177.8,8.82,0.116,0.600,0.805,1,333.86
121,2026-05-29T18:38:17.900Z,50.3732722,30.4648106,177.8,8.53,-0.045,0.713,0.882,1,329.63
122,2026-05-29T18:38:18.000Z,50.3732781,30.4648033,177.8,8.48,-0.215,0.908,0.953,1,322.57
123,2026-05-29T18:38:18.100Z,50.3732834,30.4647951,177.7,8.34,-0.428,0.922,0.938,1,315.66
124,2026-05-29T18:38:18.200Z,50.3732879,30.4647865,177.8,7.96,-0.493,0.996,0.856,1,310.28
125,2026-05-29T18:38:18.300Z,50.3732917,30.4647772,177.7,7.99,-0.696,1.017,0.835,1,303.68
126,2026-05-29T18:38:18.400Z,50.3732952,30.4647678,177.7,7.73,-0.649,1.085,0.754,1,300.26
127,2026-05-29T18:38:18.500Z,50.3732976,30.4647574,177.7,7.89,-0.439,1.057,0.543,1,291.51
128,2026-05-29T18:38:18.600Z,50.3732997,30.4647471,177.7,7.76,-0.289,0.979,0.483,1,288.39
129,2026-05-29T18:38:18.700Z,50.3733009,30.4647363,177.7,7.74,-0.377,1.043,0.536,1,280.77
130,2026-05-29T18:38:18.800Z,50.3733013,30.4647255,177.7,7.69,-0.288,1.162,0.499,1,274.00
131,2026-05-29T18:38:18.900Z,50.3733008,30.4647146,177.7,7.76,-0.258,1.161,0.538,1,267.49
132,2026-05-29T18:38:19.000Z,50.3732996,30.4647040,177.7,7.69,-0.428,1.182,0.663,1,261.10
133,2026-05-29T18:38:19.100Z,50.3732978,30.4646935,177.7,7.74,-0.456,1.232,0.782,1,255.42
134,2026-05-29T18:38:19.200Z,50.3732949,30.4646834,177.8,7.74,-0.240,1.135,0.857,1,247.05
135,2026-05-29T18:38:19.300Z,50.3732915,30.4646731,177.8,8.22,-0.340,1.007,0.945,1,243.57
136,2026-05-29T18:38:19.400Z,50.3732878,30.4646635,177.8,7.97,-0.203,0.946,0.895,1,239.32
137,2026-05-29T18:38:19.500Z,50.3732830,30.4646542,177.7,8.41,-0.189,0.837,1.017,1,232.61
138,2026-05-29T18:38:19.600Z,50.3732781,30.4646449,177.7,8.52,-0.002,0.665,0.881,1,230.48
139,2026-05-29T18:38:19.700Z,50.3732727,30.4646361,177.7,8.58,0.066,0.565,0.853,1,227.04
140,2026-05-29T18:38:19.800Z,50.3732668,30.4646274,177.7,9.01,0.281,0.601,0.796,1,224.31
141,2026-05-29T18:38:19.900Z,50.3732608,30.4646189,177.7,9.03,0.209,0.446,0.849,1,222.11
142,2026-05-29T18:38:20.000Z,50.3732544,30.4646104,177.7,9.24,0.301,0.406,0.690,1,220.77
143,2026-05-29T18:38:20.100Z,50.3732478,30.4646021,177.7,9.36,0.396,0.388,0.680,1,219.40
144,2026-05-29T18:38:20.200Z,50.3732409,30.4645937,177.7,9.70,0.027,0.362,0.686,1,217.78
145,2026-05-29T18:38:20.300Z,50.3732338,30.4645854,177.7,9.79,0.018,0.249,0.660,1,217.28
146,2026-05-29T18:38:20.400Z,50.3732267,30.4645772,177.7,9.80,-0.188,0.232,0.755,1,216.35
147,2026-05-29T18:38:20.500Z,50.3732194,30.4645687,177.7,10.05,-0.383,0.241,0.867,1,216.42
148,2026-05-29T18:38:20.600Z,50.3732118,30.4645601,177.7,10.41,-0.706,0.277,0.952,1,216.05
149,2026-05-29T18:38:20.700Z,50.3732043,30.4645517,177.7,10.29,-0.391,0.229,0.860,1,215.37
150,2026-05-29T18:38:20.800Z,50.3731965,30.4645430,177.7,10.54,-0.348,0.290,0.827,1,215.86
151,2026-05-29T18:38:20.900Z,50.3731887,30.4645343,177.7,10.69,-0.174,0.269,0.767,1,215.74
152,2026-05-29T18:38:21.000Z,50.3731807,30.4645254,177.7,10.79,0.272,0.149,0.462,1,215.55
153,2026-05-29T18:38:21.100Z,50.3731726,30.4645164,177.8,11.03,0.500,0.137,0.280,1,215.07
154,2026-05-29T18:38:21.200Z,50.3731643,30.4645075,177.8,11.11,0.346,0.144,0.408,1,214.90
155,2026-05-29T18:38:21.300Z,50.3731560,30.4644987,177.8,11.21,0.322,0.161,0.523,1,214.08
156,2026-05-29T18:38:21.400Z,50.3731474,30.4644898,177.8,11.38,0.464,0.245,0.370,1,213.46
157,2026-05-29T18:38:21.500Z,50.3731386,30.4644812,177.8,11.47,0.110,0.264,0.676,1,212.56
158,2026-05-29T18:38:21.600Z,50.3731296,30.4644730,177.8,11.57,0.199,0.241,0.775,1,210.44
159,2026-05-29T18:38:21.700Z,50.3731202,30.4644652,177.8,11.75,0.165,0.380,0.522,1,208.18
160,2026-05-29T18:38:21.800Z,50.3731108,30.4644580,177.8,11.67,0.097,0.309,0.403,1,206.61
161,2026-05-29T18:38:21.900Z,50.3731008,30.4644517,177.8,11.89,0.030,0.304,0.287,1,202.88
162,2026-05-29T18:38:22.000Z,50.3730907,30.4644469,177.8,11.77,0.102,0.455,-0.061,1,197.63
163,2026-05-29T18:38:22.100Z,50.3730806,30.4644427,177.8,11.62,-0.295,0.586,-0.010,1,195.25
164,2026-05-29T18:38:22.200Z,50.3730698,30.4644383,177.8,12.26,-0.245,0.616,0.097,1,195.01
165,2026-05-29T18:38:22.300Z,50.3730595,30.4644374,177.8,11.53,-0.349,0.830,0.007,1,184.22
166,2026-05-29T18:38:22.400Z,50.3730490,30.4644376,177.8,11.63,-0.413,0.875,0.040,1,179.77
167,2026-05-29T18:38:22.500Z,50.3730381,30.4644365,177.8,12.05,-0.130,0.737,0.124,1,183.26
168,2026-05-29T18:38:22.600Z,50.3730276,30.4644387,177.8,11.80,-0.106,0.739,0.104,1,173.45
169,2026-05-29T18:38:22.700Z,50.3730173,30.4644423,177.8,11.69,-0.119,0.830,0.005,1,168.56
170,2026-05-29T18:38:22.800Z,50.3730073,30.4644470,177.8,11.65,-0.020,0.842,-0.054,1,164.03
171,2026-05-29T18:38:22.900Z,50.3729973,30.4644524,177.8,11.81,-0.043,0.859,0.045,1,160.95
172,2026-05-29T18:38:23.000Z,50.3729879,30.4644586,177.9,11.42,-0.393,1.040,0.059,1,157.23
173,2026-05-29T18:38:23.100Z,50.3729784,30.4644662,177.8,11.81,-0.238,0.955,0.022,1,153.80
174,2026-05-29T18:38:23.200Z,50.3729703,30.4644750,177.9,11.23,-0.214,0.770,0.108,1,146.05
175,2026-05-29T18:38:23.300Z,50.3729618,30.4644853,177.9,11.87,-0.278,0.687,0.044,1,142.75
176,2026-05-29T18:38:23.400Z,50.3729535,30.4644953,177.9,11.69,-0.217,0.684,0.109,1,142.73
177,2026-05-29T18:38:23.500Z,50.3729462,30.4645067,177.9,11.51,-0.026,0.665,0.149,1,135.96
178,2026-05-29T18:38:23.600Z,50.3729389,30.4645188,178.0,11.87,0.187,0.637,0.071,1,133.58
179,2026-05-29T18:38:23.700Z,50.3729316,30.4645310,178.0,11.86,0.184,0.477,0.070,1,133.24
180,2026-05-29T18:38:23.800Z,50.3729243,30.4645439,178.0,12.22,0.233,0.351,0.121,1,131.29
181,2026-05-29T18:38:23.900Z,50.3729172,30.4645571,178.0,12.23,0.366,0.080,0.078,1,130.39
182,2026-05-29T18:38:24.000Z,50.3729101,30.4645704,178.0,12.25,0.136,0.067,-0.027,1,130.17
183,2026-05-29T18:38:24.100Z,50.3729029,30.4645838,178.0,12.50,0.167,-0.010,0.006,1,130.02
184,2026-05-29T18:38:24.200Z,50.3728957,30.4645975,178.0,12.48,0.052,0.030,-0.008,1,129.25
185,2026-05-29T18:38:24.300Z,50.3728884,30.4646112,178.0,12.70,0.444,0.041,-0.206,1,129.62
186,2026-05-29T18:38:24.400Z,50.3728813,30.4646251,178.1,12.69,0.475,0.293,-0.204,1,128.79
187,2026-05-29T18:38:24.500Z,50.3728746,30.4646389,178.1,12.42,0.390,0.105,-0.123,1,127.49
188,2026-05-29T18:38:24.600Z,50.3728677,30.4646535,178.1,12.80,0.217,0.079,-0.116,1,126.54
189,2026-05-29T18:38:24.700Z,50.3728617,30.4646675,178.1,12.20,0.391,0.116,0.000,1,124.77
190,2026-05-29T18:38:24.800Z,50.3728557,30.4646808,178.1,11.92,-0.081,0.192,0.268,1,125.03
191,2026-05-29T18:38:24.900Z,50.3728493,30.4646951,178.1,12.11,-0.274,0.087,0.299,1,125.05
192,2026-05-29T18:38:25.000Z,50.3728424,30.4647105,178.1,12.45,-0.125,0.354,0.244,1,124.67
193,2026-05-29T18:38:25.100Z,50.3728372,30.4647249,178.1,11.85,-0.143,0.458,0.208,1,122.40
194,2026-05-29T18:38:25.200Z,50.3728328,30.4647404,178.1,11.86,-0.192,0.412,0.063,1,119.36
195,2026-05-29T18:38:25.300Z,50.3728322,30.4647575,178.2,11.23,-0.089,0.459,-0.143,1,110.76
196,2026-05-29T18:38:25.400Z,50.3728291,30.4647692,178.1,9.84,-0.152,0.465,0.000,1,109.77
197,2026-05-29T18:38:25.500Z,50.3728273,30.4647834,178.1,9.95,-0.136,0.496,0.062,1,106.98
198,2026-05-29T18:38:25.600Z,50.3728275,30.4647978,178.1,9.44,-0.088,0.544,0.244,1,101.35
199,2026-05-29T18:38:25.700Z,50.3728274,30.4648118,178.2,9.40,-0.130,0.670,0.482,1,97.48
200,2026-05-29T18:38:25.800Z,50.3728281,30.4648259,178.2,9.28,-0.232,0.540,0.722,1,92.90
201,2026-05-29T18:38:25.900Z,50.3728286,30.4648393,178.3,9.37,-0.125,0.789,0.705,1,90.55
202,2026-05-29T18:38:26.000Z,50.3728311,30.4648510,178.3,8.66,-0.343,0.585,0.924,1,81.39
203,2026-05-29T18:38:26.100Z,50.3728340,30.4648628,178.3,8.70,-0.380,0.685,0.975,1,75.52
204,2026-05-29T18:38:26.200Z,50.3728379,30.4648744,178.3,8.84,-0.425,0.592,0.913,1,68.60
205,2026-05-29T18:38:26.300Z,50.3728423,30.4648850,178.3,8.65,-0.308,0.924,0.914,1,61.81
206,2026-05-29T18:38:26.400Z,50.3728475,30.4648949,178.3,8.63,-0.351,0.841,0.952,1,55.44
207,2026-05-29T18:38:26.500Z,50.3728530,30.4649036,178.4,8.52,-0.271,1.115,0.841,1,48.77
208,2026-05-29T18:38:26.600Z,50.3728586,30.4649123,178.5,8.43,-0.365,1.065,0.822,1,45.93
209,2026-05-29T18:38:26.700Z,50.3728656,30.4649192,178.6,8.56,-0.314,1.089,0.800,1,35.95
210,2026-05-29T18:38:26.800Z,50.3728727,30.4649247,178.7,8.63,-0.324,1.033,0.748,1,28.97
211,2026-05-29T18:38:26.900Z,50.3728804,30.4649281,178.6,8.92,-0.278,1.061,0.690,1,18.82
212,2026-05-29T18:38:27.000Z,50.3728883,30.4649309,178.7,9.06,-0.268,0.903,0.779,1,13.75
213,2026-05-29T18:38:27.100Z,50.3728959,30.4649330,178.6,8.86,-0.227,0.841,0.827,1,10.44
214,2026-05-29T18:38:27.200Z,50.3729035,30.4649330,178.6,8.69,-0.220,0.778,0.871,1,2.04
215,2026-05-29T18:38:27.300Z,50.3729109,30.4649327,178.6,8.43,-0.209,0.757,0.912,1,359.10
216,2026-05-29T18:38:27.400Z,50.3729181,30.4649306,178.6,8.42,-0.141,0.697,0.916,1,351.11
