Format,RaceBox CSV
Data Source,RaceBox 25121861
Date UTC,2026-05-29T18:38:05+00:00
Date,29/05/2026
Time,06/38/05
Session Index,2
Session Type,Track
Track,Custom Track
Configuration,
Laps,14
Best Lap Time,42.639
Incomplete lap, 6.004, sectors, 0,0,0,0,6.004
Lap 1, 46.15, sectors, 9.027,18.434,11.503,0,7.186
Lap 2, 43.729, sectors, 7.716,17.729,11.238,0,7.046
Lap 3, 43.7, sectors, 7.902,17.608,11.118,0,7.072
Lap 4, 42.975, sectors, 7.637,17.406,10.983,0,6.949
Lap 5, 43.054, sectors, 7.703,17.209,11.265,0,6.877
Lap 6, 42.828, sectors, 7.616,17.382,10.924,0,6.906
Lap 7, 42.901, sectors, 7.581,17.408,11.042,0,6.870
Lap 8, 42.961, sectors, 7.661,17.363,11.043,0,6.894
Lap 9, 43.165, sectors, 7.798,17.44,10.939,0,6.988
Lap 10, 42.76, sectors, 7.546,17.404,10.906,0,6.904
Lap 11, 42.78, sectors, 7.648,17.319,10.929,0,6.884
Lap 12, 44.157, sectors, 7.573,18.269,11.467,0,6.848
Lap 13, 42.639, sectors, 7.519,17.206,11.117,0,6.797
Lap 14, 42.879, sectors, 7.6,17.398,11.129,0,6.752
Incomplete lap, 66.218, sectors, 7.503,17.203,11.305,0,30.207

Record,Time,Latitude,Longitude,Altitude (m),Speed (m/s),GForceX (g),GForceY (g),GForceZ (g),Lap,Heading
1,2026-05-29T18:38:05.900Z,50.3734722,30.4646960,178.3,1.50,0.385,-0.013,0.478,0,243.99
2,2026-05-29T18:38:06.000Z,50.3734714,30.4646939,178.3,1.75,0.328,-0.059,0.505,0,241.07
3,2026-05-29T18:38:06.100Z,50.3734703,30.4646922,178.3,1.70,0.176,-0.156,0.632,0,234.64
4,2026-05-29T18:38:06.200Z,50.3734691,30.4646903,178.3,1.88,-0.015,-0.215,0.715,0,230.17
5,2026-05-29T18:38:06.300Z,50.3734679,30.4646885,178.3,1.81,-0.150,-0.249,0.739,0,226.77
6,2026-05-29T18:38:06.400Z,50.3734663,30.4646873,178.3,2.00,-0.390,-0.329,0.920,0,217.08
7,2026-05-29T18:38:06.500Z,50.3734647,30.4646858,178.3,1.95,-0.565,-0.319,1.056,0,212.42
8,2026-05-29T18:38:06.600Z,50.3734631,30.4646853,178.3,1.84,-0.669,-0.317,1.014,0,203.25
9,2026-05-29T18:38:06.700Z,50.3734613,30.4646849,178.3,2.01,-0.802,-0.310,1.131,0,194.98
10,2026-05-29T18:38:06.800Z,50.3734595,30.4646844,178.3,1.99,-0.941,-0.320,1.082,0,191.04
11,2026-05-29T18:38:06.900Z,50.3734575,30.4646850,178.3,2.18,-0.865,-0.291,0.996,0,181.20
12,2026-05-29T18:38:07.000Z,50.3734551,30.4646855,178.3,2.52,-0.541,-0.285,0.832,0,174.01
13,2026-05-29T18:38:07.100Z,50.3734527,30.4646864,178.3,2.70,-0.508,-0.276,0.865,0,169.45
14,2026-05-29T18:38:07.200Z,50.3734505,30.4646875,178.4,2.62,-0.352,-0.234,0.898,0,165.94
15,2026-05-29T18:38:07.300Z,50.3734483,30.4646893,178.3,2.95,-0.255,-0.261,1.083,0,161.08
16,2026-05-29T18:38:07.400Z,50.3734460,30.4646914,178.2,3.07,-0.088,-0.198,0.928,0,156.71
17,2026-05-29T18:38:07.500Z,50.3734438,30.4646945,178.2,3.27,0.054,-0.123,0.783,0,148.00
18,2026-05-29T18:38:07.600Z,50.3734415,30.4646979,178.3,3.39,0.432,-0.047,0.535,0,140.36
19,2026-05-29T18:38:07.700Z,50.3734393,30.4647021,178.3,3.77,0.559,0.026,0.267,0,133.67
20,2026-05-29T18:38:07.800Z,50.3734374,30.4647067,178.2,3.94,0.538,0.100,0.170,0,127.86
21,2026-05-29T18:38:07.900Z,50.3734353,30.4647115,178.3,4.14,0.244,0.092,0.466,0,124.72
22,2026-05-29T18:38:08.000Z,50.3734334,30.4647172,178.2,4.47,-0.057,0.077,0.795,0,120.77
23,2026-05-29T18:38:08.100Z,50.3734314,30.4647229,178.3,4.60,-0.453,0.120,1.112,0,118.52
24,2026-05-29T18:38:08.200Z,50.3734294,30.4647292,178.2,4.94,-0.536,0.109,1.200,0,117.44
25,2026-05-29T18:38:08.300Z,50.3734272,30.4647356,178.3,5.15,-0.206,0.104,1.022,0,117.15
26,2026-05-29T18:38:08.400Z,50.3734247,30.4647423,178.3,5.37,-0.235,0.059,1.024,0,119.19
27,2026-05-29T18:38:08.500Z,50.3734224,30.4647491,178.3,5.47,-0.316,0.075,1.067,0,117.43
28,2026-05-29T18:38:08.600Z,50.3734198,30.4647564,178.3,5.84,-0.334,0.050,1.040,0,118.40
29,2026-05-29T18:38:08.700Z,50.3734171,30.4647638,178.3,5.97,-0.223,0.036,1.043,0,119.24
30,2026-05-29T18:38:08.800Z,50.3734144,30.4647715,178.3,6.22,-0.452,0.049,1.261,0,118.70
31,2026-05-29T18:38:08.900Z,50.3734113,30.4647793,178.3,6.46,-0.151,0.124,1.086,0,120.41
32,2026-05-29T18:38:09.000Z,50.3734085,30.4647873,178.3,6.49,0.103,0.016,0.895,0,119.79
33,2026-05-29T18:38:09.100Z,50.3734055,30.4647954,178.3,6.73,-0.181,0.083,1.091,0,120.20
34,2026-05-29T18:38:09.200Z,50.3734023,30.4648039,178.2,7.02,0.064,0.082,0.876,0,120.85
35,2026-05-29T18:38:09.300Z,50.3733987,30.4648124,178.2,7.24,0.078,0.116,0.962,0,122.50
36,2026-05-29T18:38:09.400Z,50.3733950,30.4648210,178.3,7.39,0.017,0.181,0.990,0,123.81
37,2026-05-29T18:38:09.500Z,50.3733910,30.4648298,178.3,7.67,-0.021,0.186,0.956,0,125.15
38,2026-05-29T18:38:09.600Z,50.3733871,30.4648391,178.2,7.86,-0.091,0.205,1.000,0,123.68
39,2026-05-29T18:38:09.700Z,50.3733832,30.4648486,178.2,7.91,-0.306,0.263,1.212,0,123.09
40,2026-05-29T18:38:09.800Z,50.3733790,30.4648582,178.2,8.27,-0.423,0.200,1.168,0,124.20
41,2026-05-29T18:38:09.900Z,50.3733745,30.4648680,178.2,8.44,-0.337,0.195,1.109,0,125.03
42,2026-05-29T18:38:10.000Z,50.3733696,30.4648776,178.2,8.67,-0.284,0.174,1.173,0,127.50
43,2026-05-29T18:38:10.100Z,50.3733647,30.4648875,178.2,8.84,0.119,0.136,0.908,0,127.12
44,2026-05-29T18:38:10.200Z,50.3733596,30.4648977,178.2,9.12,0.330,0.039,0.720,0,127.64
45,2026-05-29T18:38:10.300Z,50.3733542,30.4649078,178.2,9.21,0.342,0.001,0.811,0,129.61
46,2026-05-29T18:38:10.400Z,50.3733486,30.4649178,178.2,9.32,0.188,0.004,0.885,0,130.50
47,2026-05-29T18:38:10.500Z,50.3733428,30.4649278,178.2,9.59,0.175,0.029,0.854,0,131.71
48,2026-05-29T18:38:10.600Z,50.3733369,30.4649378,178.2,9.69,0.012,-0.026,0.927,0,132.75
49,2026-05-29T18:38:10.700Z,50.3733305,30.4649475,178.2,9.82,0.060,-0.041,0.933,0,134.96
50,2026-05-29T18:38:10.800Z,50.3733240,30.4649574,178.1,10.03,0.094,-0.002,0.872,0,135.74
51,2026-05-29T18:38:10.900Z,50.3733171,30.4649671,178.1,10.25,0.045,-0.028,0.867,0,137.82
52,2026-05-29T18:38:11.000Z,50.3733100,30.4649763,178.1,10.20,0.024,-0.040,0.890,0,139.68
53,2026-05-29T18:38:11.100Z,50.3733025,30.4649853,178.1,10.38,0.086,-0.037,0.831,0,141.76
54,2026-05-29T18:38:11.200Z,50.3732949,30.4649942,178.1,10.53,-0.225,-0.069,0.974,0,142.97
55,2026-05-29T18:38:11.300Z,50.3732868,30.4650023,178.1,10.54,-0.306,-0.144,0.912,0,146.71
56,2026-05-29T18:38:11.400Z,50.3732785,30.4650099,178.1,10.69,-0.138,-0.070,0.813,0,149.14
57,2026-05-29T18:38:11.500Z,50.3732700,30.4650174,178.1,10.80,-0.248,0.007,0.873,0,150.35
58,2026-05-29T18:38:11.600Z,50.3732611,30.4650242,178.1,10.91,-0.426,0.160,0.973,0,153.88
59,2026-05-29T18:38:11.700Z,50.3732521,30.4650306,178.1,10.88,-0.237,0.189,0.789,0,155.19
