session,lap,lap_time,corner,direction,entry_speed,min_speed,exit_speed,min_s,brake_peak_g,brake_dist_m,brake_time_s,coast_time_s,trail_brake_s,max_lat_g,steer_yaw_std,steer_yaw_jerk,gas_start_speed,gas_start_s
RaceBox Track Sessionon 29-05-2026 21-25.csv,1,44.652,1,R,44.00088311688307,23.839012987012957,32.516571428571396,29.3701827163694,-0.6341168831168824,15.485966161844662,1.5999999999999996,0.40000000000000213,4.0,1.1585627705627692,0.8079283932781346,8.107054375513686,47.02753246753242,114.28967076723492
RaceBox Track Sessionon 29-05-2026 21-25.csv,1,44.652,2,L,33.85106493506489,29.12742857142854,29.88654545454542,157.77597367931415,-0.3889047619047615,26.420198616040892,3.200000000000003,1.5,2.5,1.161415584415583,0.5152899964271113,8.678649705541865,36.022753246753204,119.70207789017145
RaceBox Track Sessionon 29-05-2026 21-25.csv,1,44.652,3,L,43.6921558441558,28.315012987012956,28.333870129870096,204.7303334236513,-0.37777056277056237,10.443825997677521,1.0,0.0,0.4,1.0229913419913408,0.7737544659436334,9.965830028887554,28.333870129870096,219.7490472487744
RaceBox Track Sessionon 29-05-2026 21-25.csv,1,44.652,4,L,30.21802597402594,24.66218181818179,38.04638961038956,225.093910680353,-0.38934632034631994,9.639397247257108,1.4000000000000021,0.0,1.4000000000000001,1.0816363636363624,0.77348429782945,9.965830028887554,34.44031168831165,264.2579172244486
RaceBox Track Sessionon 29-05-2026 21-25.csv,1,44.652,5,L,42.35516883116878,29.95729870129867,39.612779220779174,273.6771473267312,-0.36462770562770525,21.137907593960335,1.8999999999999986,0.0,0.1,0.7881688311688303,0.5943245650637641,5.144357970253084,41.844779220779174,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-25.csv,1,44.652,6,L,42.88301298701294,26.36961038961036,36.782961038961,322.4849086097447,-0.6619134199134192,10.74248463045825,1.3999999999999986,0.19999999999999574,1.8,0.9731991341991331,0.5917022897289164,4.433136300065519,53.707792207792146,424.36546973607346
RaceBox Track Sessionon 29-05-2026 21-25.csv,2,43.377,1,R,44.12820779220774,26.716675324675293,31.913922077922038,30.890933435103452,-0.7459134199134191,0.0,0.0,6.200000000000003,3.9000000000000004,1.0944025974025962,0.8301179182133234,5.510877113172221,36.093662337662295,119.70207789017145
RaceBox Track Sessionon 29-05-2026 21-25.csv,2,43.377,2,L,36.60701298701294,28.35615584415581,29.57937662337659,155.38536181830224,-0.3536580086580082,43.74713789953333,4.200000000000003,2.0999999999999943,1.6,1.1646190476190463,0.48655223852302915,5.083271446433384,36.093662337662295,119.70207789017145
RaceBox Track Sessionon 29-05-2026 21-25.csv,2,43.377,3,L,44.6066493506493,27.470493506493476,28.795168831168798,208.58249753055333,-0.44096103896103844,23.935873707759526,2.299999999999997,0.0,0.6000000000000001,1.0017532467532457,0.8600728358701158,6.435901616728906,28.795168831168798,219.7490472487744
RaceBox Track Sessionon 29-05-2026 21-25.csv,2,43.377,4,L,27.650805194805162,25.46742857142854,39.06467532467528,225.8456495452844,-0.42394805194805146,5.2826955169755365,0.7999999999999972,0.3999999999999915,1.3,1.0636363636363624,0.7725515159996518,6.435901616728906,25.834597402597375,227.3146921528989
RaceBox Track Sessionon 29-05-2026 21-25.csv,2,43.377,5,L,41.56628571428567,31.699480519480478,37.76244155844151,269.1024678027653,-0.29546753246753216,0.0,0.0,0.0,0.4,0.7821298701298692,0.5934527096588195,5.650503453331499,40.44483116883112,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-25.csv,2,43.377,6,L,43.84628571428566,28.64150649350646,37.15059740259736,323.3177284039944,-0.7145021645021636,11.575304424707952,1.3000000000000114,0.20000000000000284,1.8,1.2445108225108212,0.6082357885202322,4.72984227290531,54.35485714285708,424.36546973607346
RaceBox Track Sessionon 29-05-2026 21-25.csv,3,43.479,1,R,48.417662337662286,26.855220779220748,33.54249350649347,29.3701827163694,-0.34614285714285675,6.372881215864048,0.7000000000000028,5.900000000000006,3.7,1.2081601731601717,0.8502077222919537,5.497787143781983,35.347168831168794,121.01130350202293
RaceBox Track Sessionon 29-05-2026 21-25.csv,3,43.479,2,L,37.51901298701295,27.311844155844124,28.566389610389578,154.6403828181315,-0.6561038961038953,36.32337759568114,3.5999999999999943,0.5,3.1,1.2959870129870117,0.43832450693089037,3.7088246604878528,28.188311688311657,158.57326118214652
RaceBox Track Sessionon 29-05-2026 21-25.csv,3,43.479,3,L,43.80888311688307,23.278909090909064,28.04524675324672,207.76942693001934,-0.32061038961038923,21.899754301781684,2.200000000000003,0.09999999999999432,0.7000000000000001,0.8476709956709947,0.8847016606801056,7.234389749516957,27.621974025973994,219.7490472487744
RaceBox Track Sessionon 29-05-2026 21-25.csv,3,43.479,4,L,23.84322077922075,23.84322077922075,27.82394805194802,209.33564942800695,-0.47275757575757527,0.0,0.0,0.0,0.5,1.021281385281384,0.7801348242078866,4.337143191206347,35.46280519480515,264.2579172244486
RaceBox Track Sessionon 29-05-2026 21-25.csv,3,43.479,5,L,42.09148051948047,29.508779220779186,38.35106493506489,270.02273523891506,-0.47275757575757527,17.48349550614421,1.7000000000000028,1.0999999999999943,0.0,0.6353852813852806,0.5786373015293539,4.062253834017293,40.99059740259735,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-25.csv,3,43.479,6,L,43.8520519480519,28.660675324675292,37.0815584415584,323.3177284039944,-0.7942294372294363,10.559552153369793,1.2999999999999972,0.20000000000001705,2.2,1.1289047619047605,0.6050156974949752,4.062253834017293,55.56405194805188,419.83605080239795
RaceBox Track Sessionon 29-05-2026 21-25.csv,4,42.946,1,R,48.99070129870125,26.64342857142854,33.02275324675321,28.642404849845292,-0.6021428571428564,18.574877946920154,1.799999999999983,0.6999999999999886,2.9000000000000004,1.4096623376623358,0.8402738216419294,4.559672670835167,48.20322077922072,117.01318817653008
RaceBox Track Sessionon 29-05-2026 21-25.csv,4,42.946,2,L,38.27142857142852,28.394961038961004,29.632675324675294,156.98743994021476,-0.4589696969696965,19.109800972805147,2.5,0.30000000000001137,2.5,1.2253160173160158,0.490337232096151,5.4672438818711555,28.845194805194772,158.57326118214652
RaceBox Track Sessionon 29-05-2026 21-25.csv,4,42.946,3,L,32.61412987012984,27.485766233766203,27.485766233766203,219.7490472487744,-0.8139090909090899,35.10242342598059,3.5999999999999943,0.30000000000001137,0.5,0.8914329004328995,0.9213506037475362,6.396631708558019,29.521870129870095,204.7303334236513
RaceBox Track Sessionon 29-05-2026 21-25.csv,4,42.946,4,L,27.68259740259737,25.858597402597372,38.236987012986965,225.093910680353,-0.4018787878787874,0.0,0.0,0.0,0.8,1.0492987012987,0.8233583448061415,6.396631708558019,36.179844155844116,264.2579172244486
RaceBox Track Sessionon 29-05-2026 21-25.csv,4,42.946,5,L,43.50779220779216,31.490337662337623,40.60909090909086,275.4969366753276,-0.5973419913419907,12.322843420831816,1.200000000000017,0.0,0.6000000000000001,0.9596666666666656,0.5965547689036151,3.3073989325290505,40.70072727272722,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-25.csv,4,42.946,6,L,43.619844155844106,29.06493506493503,37.03044155844151,323.3177284039944,-0.5973419913419907,18.801497525165416,1.9000000000000057,0.0,1.6,1.7425757575757554,0.615342886265809,5.297074279803503,54.932571428571364,424.36546973607346
RaceBox Track Sessionon 29-05-2026 21-25.csv,5,43.883,1,R,46.45729870129865,24.011220779220746,32.73880519480516,30.147209972942033,-0.41881385281385236,28.67040139645496,2.700000000000017,6.199999999999989,3.6,1.0025238095238083,0.8238373924085635,6.243915399007455,34.788779220779176,121.01130350202293
RaceBox Track Sessionon 29-05-2026 21-25.csv,5,43.883,2,L,34.957246753246714,26.645454545454516,28.476623376623344,153.85952016287865,-0.42056709956709915,42.22129624410974,4.199999999999989,0.19999999999998863,1.8,1.3353506493506477,0.49098460415364076,4.769112181073426,27.802285714285684,156.98743994021476
RaceBox Track Sessionon 29-05-2026 21-25.csv,5,43.883,3,L,42.92103896103891,25.537558441558414,27.31480519480516,208.58249753055333,-0.4856277056277051,23.935873707759526,2.4000000000000057,0.39999999999997726,1.6,0.9760909090909079,1.0069234246791463,7.208209810736539,27.22768831168828,219.7490472487744
RaceBox Track Sessionon 29-05-2026 21-25.csv,5,43.883,4,L,25.73968831168828,25.73968831168828,28.411168831168798,209.33564942800695,-0.42519047619047573,0.0,0.0,0.30000000000001137,1.5,1.1715670995670981,0.7579006083707618,7.208209810736539,43.194077922077874,257.256660953078
RaceBox Track Sessionon 29-05-2026 21-25.csv,5,43.883,5,L,41.58888311688307,31.456519480519443,40.46181818181813,273.6771473267312,-0.4202683982683978,21.137907593960335,2.0,0.0,0.5,0.8689610389610379,0.5785549469889812,3.4862951808590585,41.04280519480515,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-25.csv,5,43.883,6,L,43.860779220779165,28.796883116883084,37.35116883116879,323.3177284039944,-0.6022987012987006,11.575304424707952,1.3000000000000114,0.0,1.7000000000000002,1.597792207792206,0.603830521037237,3.228859116189557,54.428415584415525,424.36546973607346
RaceBox Track Sessionon 29-05-2026 21-25.csv,6,42.983,1,R,49.94898701298696,26.892155844155813,34.80810389610385,27.917034657464207,-1.110138528138527,0.0,0.0,5.800000000000011,2.2,1.262541125541124,0.8491297700824647,4.721115626643641,35.01490909090905,121.01130350202293
RaceBox Track Sessionon 29-05-2026 21-25.csv,6,42.983,2,L,34.74280519480515,28.12363636363633,28.699480519480485,157.77597367931415,-0.4411861471861467,31.508453987513192,3.3000000000000114,0.30000000000001137,1.7000000000000002,1.2304848484848472,0.5276723402330794,4.4025930381545315,29.278597402597367,153.85952016287865
RaceBox Track Sessionon 29-05-2026 21-25.csv,6,42.983,3,L,43.32779220779216,28.039168831168798,30.84561038961035,204.7303334236513,-0.5014545454545449,20.083709600857503,1.8999999999999773,0.29999999999998295,0.0,0.8200562770562762,0.8720459890119879,7.657632093125404,31.39714285714282,199.92092370106388
RaceBox Track Sessionon 29-05-2026 21-25.csv,6,42.983,4,L,29.530441558441524,25.979844155844123,38.6602597402597,227.3146921528989,-0.3627099567099563,5.225745147600492,0.799999999999983,0.0,1.9000000000000001,1.1858354978354966,0.761307579095647,7.657632093125404,35.952467532467494,264.2579172244486
RaceBox Track Sessionon 29-05-2026 21-25.csv,6,42.983,5,L,42.414857142857095,29.59994805194802,39.81818181818178,274.5766273244419,-0.41721212121212076,22.037387591671063,2.0999999999999943,0.0,0.30000000000000004,0.7602770562770554,0.590780255486715,6.8286006984286525,39.68727272727268,311.74242397928646
RaceBox Track Sessionon 29-05-2026 21-25.csv,6,42.983,6,L,44.74083116883112,29.649350649350616,37.59459740259736,325.78182724138736,-0.9384891774891765,16.29970571040525,1.8000000000000114,0.10000000000002274,1.2000000000000002,0.9162164502164492,0.6113961396254818,5.414884004310876,55.30784415584409,424.36546973607346
RaceBox Track Sessionon 29-05-2026 21-25.csv,7,42.761,1,R,47.501298701298644,26.678337662337633,33.213038961038926,29.3701827163694,-0.7302077922077913,26.433340819526936,2.3999999999999773,0.0,4.3,1.1379350649350637,0.8309369658378143,3.953170755770421,35.48181818181814,119.70207789017145
RaceBox Track Sessionon 29-05-2026 21-25.csv,7,42.761,2,L,40.09355844155839,27.194805194805163,28.902701298701263,153.03841865115206,-0.5123419913419908,25.36943186899977,2.6999999999999886,0.0,2.5,1.250290043290042,0.5473560342264879,7.347836150896376,35.48181818181814,119.70207789017145
RaceBox Track Sessionon 29-05-2026 21-25.csv,7,42.761,3,L,43.67158441558436,28.387636363636332,30.363428571428535,204.7303334236513,-0.5622510822510817,20.083709600857503,1.8000000000000114,0.0,0.5,0.8868658008657998,0.9183611877192529,6.985680331108099,30.363428571428535,219.7490472487744
